rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_mort_B2;recy_noconvers_B2;VC_11;VC_21;VC_12;VC_22;R_11;R_21;R_12;R_22;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_mortB2;fluxEq_prelB2;J11;J12;J21;J22;J_inverse11;J_inverse12;J_inverse21;J_inverse22;supp
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.09999999999999999;0.19999999999999998;0.1;0.9;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.04999999999907148;9.500000001772577;0.855000000159532;0.855000000159532;0.0;0.855000000159532;0.855000000159532;0.0;1.636125654085654e-07;3.0383532633106915e-17;3.0383540402155364e-17;0.0003108638743339738;1.0;4.260345419406629e-12;4.26034650877403e-12;1.0;-0.00995283030530998;0.09999999999999999;0.004999999999907148;0.9500000001596158;0.855000000159532;0.9500000001772577;0.9500000001596158;-19.100000003545155;-0.009999999998142953;19.000000003545154;-1.8570422977148837e-12;-9.773904894771782e-12;0.052631578927722696;-99.99999999990231;-100.52631578927728;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.325;0.65;0.1;0.45;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.050000000000072216;5.81818181816648;0.26181818181749167;0.26181818181749167;0.0;0.26181818181749167;0.26181818181749167;0.0;2.662664601099115e-07;-6.991610242015114e-19;-6.991838498515832e-19;5.633406098178444e-05;1.0;-1.805233764480706e-13;-1.8052927003091911e-13;1.0;-0.05478712564289833;0.325;0.005000000000007222;0.5818181818174883;0.26181818181749167;0.581818181816648;0.5818181818174883;-11.73636363633296;-0.055000000000144426;11.63636363633296;1.4442613771592505e-13;2.256656863274768e-13;0.08593750000045416;-18.181818181818592;-18.338068181819008;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;0.55;1.1;0.1;0.0;0.0;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.05000000000000002;5.449999999999999;0.0;0.0;0.0;0.0;0.0;0.0;2.8409090909090936e-07;-5.544701652515307e-23;-4.79154729538036e-23;3.096590909090911e-05;1.0;-1.8694230672438857e-17;-1.615493421131259e-17;1.0;-0.1;0.55;0.005000000000000002;0.5450000000000002;0.0;0.5449999999999999;0.5450000000000002;-10.999999999999998;-0.10000000000000003;10.899999999999999;2.7755575615628914e-17;3.0278809762504273e-17;0.09174311926605508;-10.0;-10.091743119266054;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;90000.04999999997;0.10000005555555554;0.1;0.9;1e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.4999999999999999;899999.9999999999;809999.9999999998;809999.9999999998;0.0;809999.9999999998;809999.9999999998;0.0;1.7361142584442128e-10;8.223677477689753e-10;8.223677477689753e-10;0.0016447354955379506;1.0;0.0015389655031744541;0.0015389655031744541;1.0;-0.18999996450001222;90000.04999999997;0.04999999999999999;899999.9999999997;809999.9999999998;899999.9999999997;899999.9999999997;-1800000.0999999999;0.71;1799999.9999999998;-0.8999999999999998;-2.6315782548478296e-06;-2.076022845491066e-06;-5.263156509695659;-5.263156802093244;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;495000.05;0.5500000555555556;0.1;0.45;1e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5;900000.0;404999.99999999994;404999.99999999994;0.0;404999.99999999994;404999.99999999994;0.0;1.7361108942126787e-10;1.495214408788714e-10;1.495214408788714e-10;0.00029904288175774284;1.0;0.0006562178018998246;0.0006562178018998246;1.0;-1.045000076125046;495000.05;0.05;900000.0;404999.99999999994;899999.9999999999;900000.0;-1800000.1;-0.14500000000000002;1800000.0;-0.8999999999999998;-4.784688766282834e-07;7.70866523456679e-08;-0.9569377532565668;-0.9569378064197754;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;900000.0499999999;1.0000000555555557;0.1;0.0;1e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;900000.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7361105577894448e-10;8.223679425402784e-11;8.223679425402784e-11;0.00016447358850805568;1.0;0.00048666419935752874;0.00048666419935752874;1.0;-1.9000010000015553;900000.0499999999;0.049999999999999996;899999.9999999999;0.0;899999.9999999999;899999.9999999999;-1800000.1;-0.9999999999999999;1800000.0;-0.8999999999999999;-2.631578878116345e-07;2.923976531240383e-07;-0.5263157756232691;-0.5263158048630344;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;71428.6214285714;0.10000006999999998;0.1;0.9;1.26e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5;714285.7142857143;642857.142857143;642857.142857143;0.0;642857.142857143;642857.142857143;0.0;2.187504996704864e-10;1.0361831416213616e-09;1.0361831416213618e-09;0.0016447351454307332;1.0;0.0017274839019032133;0.0017274839019032137;1.0;-0.18999995527001934;71428.6214285714;0.05;714285.7142857143;642857.142857143;714285.7142857143;714285.7142857143;-1428571.5285714287;0.7100000000000002;1428571.4285714286;-0.9;-3.315788374238594e-06;-2.6157886063437806e-06;-5.26315614958507;-5.263156518006001;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;392857.19285714277;0.5500000700000001;0.1;0.45;1.26e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;714285.7142857143;321428.5714285715;321428.5714285715;0.0;321428.5714285715;321428.5714285715;0.0;2.1874996556520827e-10;1.883969859508003e-10;1.883969859508003e-10;0.00029904283484254016;1.0;0.0007366026099259475;0.0007366026099259475;1.0;-1.0450000959175731;392857.19285714277;0.049999999999999996;714285.7142857142;321428.5714285715;714285.7142857143;714285.7142857142;-1428571.5285714287;-0.1449999999999998;1428571.4285714286;-0.9000000000000001;-6.028707770518097e-07;9.712918074723586e-08;-0.9569377413520788;-0.9569378083377207;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;714285.7642857141;1.00000007;0.1;0.0;1.26e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.49999999999999994;714285.7142857142;0.0;0.0;0.0;0.0;0.0;0.0;2.1874991215466455e-10;1.0361834508402141e-10;1.0361834508402141e-10;0.0001644735636254308;1.0;0.0005462791902328636;0.0005462791902328636;1.0;-1.9000012600024692;714285.7642857141;0.049999999999999996;714285.7142857141;0.0;714285.7142857141;714285.7142857141;-1428571.5285714285;-0.9999999999999999;1428571.4285714284;-0.8999999999999999;-3.315789363739616e-07;3.6842104041551283e-07;-0.5263157720221613;-0.5263158088642653;
0.0;1.0;1.0;1.0;1.0;1.0;0.05;56962.07531645567;0.10000008777777776;0.1;0.9;1.58e-06;2.0;0.4;0.2;0.5;0.3;0.5;0.4;0.4;1.0;0.1;0.5000000000000002;569620.2531645574;512658.227848102;512658.227848102;0.0;512658.227848102;512658.227848102;0.0;2.743063412553814e-10;1.2993404244784625e-09;1.2993404244784625e-09;0.0016447347145296992;1.0;0.001934448165225114;0.001934448165225114;1.0;-0.18999994391003072;56962.07531645567;0.050000000000000024;569620.2531645576;512658.227848102;569620.2531645577;569620.2531645576;-1139240.6063291149;0.7100000000000006;1139240.5063291148;-0.9000000000000007;-4.157893008033957e-06;-3.2801155952267885e-06;-5.263155706372098;-5.26315616836021;
