rapport;compen;n;type_pertuB1;type_pertuB;sp_pertu;I_old;I;I_Irecymax;lessi;lambda;D;a2;a3;a4;a5;b2;b3;b4;b5;alpha3;m;Eq_B1;Eq_B2;recy_tot;recy_mort;recy_no_convertie;recy_B2;recy_mort_B2;recy_noconvers_B2;VC_11;VC_21;VC_12;VC_22;R_11;R_21;R_12;R_22;VP;fluxEq_I;fluxEq_mortB1;fluxEq_huntB1;fluxEq_recyB2;fluxEq_mortB2;fluxEq_prelB2;J11;J12;J21;J22;J_inverse11;J_inverse12;J_inverse21;J_inverse22;supp
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.19999999999999998;0.19999999999999998;0.1;0.9;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.049999999997938985;19.500000008056585;1.7550000007250928;1.7550000007250928;0.0;1.7550000007250928;1.7550000007250928;0.0;3.1170076700642564e-06;-0.012187499999997468;-0.012187499999997466;47.66528136919915;1.0;-0.9998724742123483;-0.999872474212348;1.0;-0.009976970330888117;0.19999999999999998;0.0049999999997938985;1.950000000725279;1.7550000007250928;1.9500000008056586;1.950000000725279;-39.10000001611317;-0.009999999995877959;39.00000001611317;-4.122036045828281e-12;-1.056932324685362e-11;0.025641025619835417;-99.99999999989436;-100.25641025619841;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.29999999999999993;0.29999999999999993;0.1;0.8;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.050000000000357016;14.749999999471965;1.1799999999577575;1.1799999999577575;0.0;1.1799999999577575;1.1799999999577575;0.0;6.228885135580042e-06;-0.00921875000000044;-0.00921875000000044;13.65293760460077;1.0;-0.9996634734576232;-0.9996634734576232;1.0;-0.0199458729001904;0.29999999999999993;0.005000000000035702;1.4749999999577286;1.1799999999577575;1.4749999999471965;1.4749999999577286;-29.599999998943932;-0.020000000000714016;29.49999999894393;7.140260604998616e-13;1.2102178494012346e-12;0.033898305087173605;-50.00000000000608;-50.1694915254359;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.4;0.4;0.1;0.7;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.050000000000000336;13.166666666666368;0.9216666666666457;0.9216666666666457;0.0;0.9216666666666457;0.9216666666666457;0.0;9.339533417402688e-06;-0.008229166666666664;-0.008229166666666662;7.259008220073463;1.0;-0.9994351603840702;-0.99943516038407;1.0;-0.029920374355671513;0.4;0.005000000000000034;1.3166666666666456;0.9216666666666457;1.316666666666637;1.3166666666666456;-26.433333333332737;-0.03000000000000068;26.333333333332735;6.661338147750939e-16;8.426774760679654e-16;0.037974683544305506;-33.33333333333332;-33.45991561181434;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.5;0.5;0.1;0.6;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.05;12.375;0.7424999999999999;0.7424999999999999;0.0;0.7424999999999999;0.7424999999999999;0.0;1.244969818913481e-05;-0.007734375;-0.007734375;4.812683719504527;1.0;-0.9991993723090322;-0.9991993723090322;1.0;-0.03990310897811346;0.5;0.005000000000000001;1.2375;0.7424999999999999;1.2375;1.2375;-24.85;-0.04000000000000001;24.75;0.0;-3.618835613466307e-18;0.0404040404040404;-24.999999999999993;-25.101010101010097;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.6;0.6;0.1;0.5;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.049999999999999926;11.900000000000034;0.5950000000000017;0.5950000000000017;0.0;0.5950000000000017;0.5950000000000017;0.0;1.555962343096225e-05;-0.007437499999999999;-0.0074375000000000005;3.562531380753159;1.0;-0.9989599762962421;-0.9989599762962423;1.0;-0.04989495844679529;0.6;0.004999999999999993;1.1900000000000017;0.5950000000000017;1.1900000000000035;1.1900000000000017;-23.90000000000007;-0.04999999999999985;23.800000000000068;-1.5265566588595902e-16;-1.2542268479028928e-16;0.04201680672268882;-20.0;-20.084033613445378;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.7;0.7;0.1;0.4;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.049999999999999975;11.583333333333346;0.46333333333333393;0.46333333333333393;0.0;0.46333333333333393;0.46333333333333393;0.0;1.866941260744982e-05;-0.007239583333333336;-0.007239583333333334;2.814558004682698;1.0;-0.9987186106981605;-0.9987186106981603;1.0;-0.059896313828520543;0.7;0.0049999999999999975;1.158333333333334;0.46333333333333393;1.1583333333333348;1.158333333333334;-23.266666666666694;-0.05999999999999994;23.166666666666693;-5.551115123125783e-17;-3.830110377216868e-17;0.0431654676258992;-16.666666666666668;-16.738609112709835;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.8;0.8;0.1;0.29999999999999993;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.04999999999999999;11.357142857142858;0.3407142857142857;0.3407142857142857;0.0;0.3407142857142857;0.3407142857142857;0.0;2.1779117094552268e-05;-0.007098214285714284;-0.007098214285714282;2.3205055123400107;1.0;-0.9984760884754781;-0.9984760884754779;1.0;-0.06990738445087878;0.8;0.004999999999999999;1.1357142857142855;0.3407142857142857;1.135714285714286;1.1357142857142855;-22.814285714285717;-0.06999999999999998;22.714285714285715;-2.7755575615628914e-17;-1.0872816596829961e-17;0.04402515723270439;-14.285714285714286;-14.348607367475294;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;0.9;0.9;0.1;0.19999999999999996;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.04999999999999999;11.187500000000004;0.22375000000000003;0.22375000000000003;0.0;0.22375000000000003;0.22375000000000003;0.0;2.488876529477196e-05;-0.006992187500000001;-0.006992187500000001;1.971328752324633;1.0;-0.9982328587818992;-0.9982328587818992;1.0;-0.07992829958059379;0.9;0.004999999999999999;1.1187500000000001;0.22375000000000003;1.1187500000000004;1.1187500000000001;-22.47500000000001;-0.07999999999999999;22.375000000000007;-2.7755575615628914e-17;-1.3115204139620865e-17;0.04469273743016757;-12.499999999999998;-12.555865921787708;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;1.0;1.0;0.1;0.09999999999999998;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.04999999999999811;11.05555555555602;0.1105555555555602;0.1105555555555602;0.0;0.1105555555555602;0.1105555555555602;0.0;2.799837418709119e-05;-0.006909722222222219;-0.00690972222222222;1.712129813192061;1.0;-0.9979891899502367;-0.9979891899502368;1.0;-0.08995914875438481;1.0;0.004999999999999811;1.1055555555555603;0.1105555555555602;1.105555555555602;1.1055555555555603;-22.211111111112043;-0.08999999999999622;22.11111111111204;-3.788636071533347e-15;-1.8987868361727415e-15;0.04522613065326252;-11.111111111111109;-11.161362367392513;
0.0;1.0;1.0;1.0;1.0;2.0;0.1;1.1;1.1;0.1;0.0;0.0;2.0;0.401;0.5;0.5;1.0;0.5;0.8;0.4;1.0;0.1;0.05000000000000001;10.949999999999998;0.0;0.0;0.0;0.0;0.0;0.0;3.1107954545454546e-05;-0.006843749999999998;-0.0068437499999999965;1.5124376420454537;1.0;-0.9977452521282938;-0.9977452521282936;1.0;-0.09999999999999999;1.1;0.005000000000000001;1.095;0.0;1.0949999999999998;1.095;-21.999999999999996;-0.10000000000000002;21.899999999999995;1.3877787807814457e-17;7.5697024406260525e-19;0.04566210045662102;-9.999999999999998;-10.045662100456621;
